ed_map_for_viz,Trump,Clinton,votes_value_for_viz
77001,91,19820,-19729
77002,92,21432,-21340
77003,91,37350,-37259
77004,190,449150,-448960
77005,200,69471,-69271
77006,244,60971,-60727
77007,272,66921,-66649
77008,211,69613,-69402
77009,342,71550,-71208
77010,302,51930,-51628
77011,257,66574,-66317
77012,233,58721,-58488
77013,280,65730,-65450
77014,333,41590,-41257
77015,302,562100,-561798
77016,210,40310,-40100
77017,70,19041,-18971
77018,191,483100,-482909
77019,176,49143,-48967
77020,244,44520,-44276
77021,260,47341,-47081
77022,281,51433,-51152
77023,281,70670,-70389
77024,212,54370,-54158
77025,211,62170,-61959
77026,120,20610,-20490
77027,191,597101,-596910
77028,202,58761,-58559
77029,131,16220,-16089
77030,110,28721,-28611
77031,30,7110,-7080
77032,10,7210,-7200
77033,152,35141,-34989
77034,323,59860,-59537
77035,163,573101,-572938
77036,170,30100,-29930
77037,101,41040,-40939
77038,141,28951,-28810
77039,221,52411,-52190
77040,161,35831,-35670
77041,230,41630,-41400
77042,320,58350,-58030
77043,210,50880,-50670
77044,312,57320,-57008
77045,110,33530,-33420
77046,455,52360,-51905
77047,150,46360,-46210
77048,312,585131,-584819
77049,71,19410,-19339
77050,183,54460,-54277
77051,171,52530,-52359
77052,41,9500,-9459
77053,100,44940,-44840
77054,102,48640,-48538
77055,132,507130,-506998
77056,180,46270,-46090
77057,175,436101,-435926
77058,92,609111,-609019
77059,143,31331,-31188
77060,221,35662,-35441
77061,91,16710,-16619
77062,70,43834,-43764
77063,144,54030,-53886
77064,122,14701,-14579
77065,185,604149,-603964
77066,30,5510,-5480
77067,141,34210,-34069
77068,81,36632,-36551
77070,0,0,0
77071,152,39370,-39218
77072,193,38350,-38157
77073,0,0,0
77074,190,37630,-37440
77075,142,22800,-22658
77076,130,26320,-26190
77077,50,25621,-25571
78001,133,592111,-591978
78002,191,61430,-61239
78003,294,25061,-24767
78004,393,56710,-56317
78005,429,536112,-535683
78006,571,60971,-60400
78007,243,13211,-12968
78008,4610,41872,-37262
78009,170,35271,-35101
78010,173,42620,-42447
78011,243,41946,-41703
78012,175,40062,-39887
78013,243,48042,-47799
78014,171,42232,-42061
78015,220,25700,-25480
78016,153,29250,-29097
78017,80,24831,-24751
78018,161,44550,-44389
78019,312,43840,-43528
78020,282,42193,-41911
78021,192,31541,-31349
78022,122,32571,-32449
78023,293,59671,-59378
78024,442,620101,-619659
78025,333,43452,-43119
78026,180,52680,-52500
78027,213,49271,-49058
78028,283,35181,-34898
78029,213,50360,-50147
78030,637,56162,-55525
78031,423,48130,-47707
78032,487,38780,-38293
78033,689,638164,-637475
78034,246,38571,-38325
78035,224,13351,-13127
78036,343,47432,-47089
78037,40,5700,-5660
78038,474,53381,-52907
78039,324,17721,-17397
78040,7911,594201,-586290
78041,1019,44080,-43061
78042,0,300,-300
78043,71,18201,-18130
78044,250,26220,-25970
78045,323,50930,-50607
78046,320,57150,-56830
78047,241,51351,-51110
78048,454,62694,-62240
78049,291,52150,-51859
78050,292,50330,-50038
78051,212,41470,-41258
78052,281,55483,-55202
78053,142,49550,-49408
78054,151,30311,-30160
78055,0,0,0
78056,0,0,0
78057,0,0,0
78059,121,18122,-18001
78060,242,44812,-44570
78061,231,28821,-28590
78062,232,28431,-28199
78063,90,24001,-23911
78064,131,33560,-33429
78065,191,26631,-26440
78066,191,28230,-28039
78067,395,31093,-30698
79001,191,59531,-59340
79002,162,42240,-42078
79003,132,45950,-45818
79004,141,33231,-33090
79005,63,53130,-53067
79006,262,34961,-34699
79007,151,46342,-46191
79008,91,28961,-28870
79009,51,21650,-21599
79010,134,57542,-57408
79011,153,18320,-18167
79012,70,11610,-11540
79013,304,57560,-57256
79014,80,14400,-14320
79015,162,42350,-42188
79016,151,42050,-41899
79017,270,463112,-462842
79018,112,39450,-39338
79019,153,30110,-29957
79020,150,34272,-34122
79021,172,29130,-28958
79022,91,26800,-26709
79023,153,36760,-36607
79024,231,43461,-43230
79025,190,441113,-440923
79026,153,38452,-38299
79027,204,54620,-54416
79028,345,68961,-68616
79030,194,36631,-36437
79031,70,44320,-44250
79032,152,36550,-36398
79033,120,35050,-34930
79034,174,40310,-40136
79035,170,48931,-48761
79036,51,17700,-17649
79037,40,24720,-24680
79038,61,52470,-52409
79039,161,56560,-56399
79040,240,64541,-64301
79041,101,51360,-51259
79042,196,50940,-50744
79043,180,332112,-331932
79044,239,532121,-531882
79045,274,670112,-669838
79046,122,58511,-58389
79047,233,60630,-60397
79048,121,34360,-34239
79049,121,37930,-37809
79050,220,46440,-46220
79051,122,42081,-41959
79052,232,56672,-56440
79053,191,45291,-45100
79054,120,30400,-30280
79055,52,9740,-9688
79056,281,46930,-46649
79057,202,58061,-57859
79058,185,47130,-46945
79059,283,45750,-45467
79060,113,24130,-24017
79061,202,49541,-49339
79062,244,512120,-511876
79063,191,53091,-52900
79064,21,23640,-23619
79065,153,45751,-45598
79066,120,40110,-39990
79067,82,24141,-24059
79068,156,59581,-59425
79069,502,90390,-89888
79070,71,30810,-30739
79071,173,57520,-57347
79072,211,53572,-53361
79073,291,34253,-33962
79074,20,8541,-8521
79075,321,52131,-51810
79076,322,39861,-39539
79077,30,13930,-13900
79078,50,19630,-19580
79079,30,21940,-21910
79080,0,0,0
79081,0,0,0
79082,180,83745,-83565
79083,131,48360,-48229
79084,303,51261,-50958
79085,110,31330,-31220
79086,182,48710,-48528
80001,564,22330,-21766
80002,162,240130,-239968
80003,25224,11770,13454
80004,12914,17040,-4126
80005,7913,10212,-2299
80006,11411,17481,-6070
80007,9612,20150,-10538
80008,719,22562,-21843
80009,413,22330,-21917
80010,8314,31491,-23177
80011,133,11200,-11067
80012,284,20470,-20186
80013,561,34792,-34231
80014,132,31740,-31608
80015,264,22451,-22187
80016,888,552142,-551254
80017,257,47282,-47025
80018,12114,210102,-197988
80019,1077,12711,-11634
80020,954,318140,-317186
80021,595,523141,-522546
80022,321,331100,-330779
80023,1087,48370,-47283
80024,604,667103,-666499
80025,555,45492,-44937
80026,466,32791,-32325
80027,7415,19820,-12405
80028,10811,27572,-16761
80029,4410,9741,-5331
80030,20119,25660,-5541
80031,21821,39191,-17370
80032,13112,16590,-3478
80033,10717,14260,-3543
80034,10712,26744,-16032
80035,9911,20050,-10139
80036,1074,37850,-36776
80037,8718,16232,-7514
80038,622,28550,-27928
80039,866,28210,-27344
80040,205,24341,-24136
80041,732,62864,-62132
80042,283,33041,-32758
80043,554,31970,-31416
80044,573,27940,-27367
80045,906,51380,-50474
80046,240,19220,-18980
80047,495,30182,-29687
80048,282,27910,-27628
80049,31,8110,-8079
80050,404,55690,-55286
80051,472,15720,-15248
80052,332,46970,-46638
80053,192,29480,-29288
80054,172,13120,-12948
80055,575,62372,-61797
80056,172,50330,-50158
80057,224,23830,-23606
80058,517,348111,-347594
80059,101,8910,-8809
80060,252,612121,-611869
80061,31,8810,-8779
80062,303,36931,-36628
80063,212,46760,-46548
80064,214,372100,-371886
80065,103,55810,-55707
80066,935,26831,-25896
80067,7512,34560,-27048
80068,879,307111,-306232
80069,153,14210,-14057
80070,464,391111,-390647
80071,366,32361,-31995
80073,272,27151,-26879
80074,135,59871,-59736
80075,0,910,-910
80076,603,27032,-26429
80077,302,51291,-50989
80078,383,578111,-577728
80079,495,509151,-508656
80080,576,64090,-63514
80081,513,63061,-62548
80082,326,221110,-220784
80083,584,47772,-47188
80084,466,524172,-523706
80085,506,565142,-564636
80086,386,615102,-614716
80087,170,20640,-20470
80088,0,0,0
80089,0,0,0
80092,0,0,0
81001,210,39680,-39470
81002,525,48340,-47815
81003,140,16150,-16010
81004,498,60591,-60093
81005,344,53260,-52916
81006,503,461103,-460600
81007,672,58173,-57501
81008,220,254100,-253880
81009,212,35540,-35328
81010,121,14791,-14670
81011,90,10400,-10310
81012,636,506201,-505565
81013,354,24972,-24618
81014,4912,329151,-324239
81015,6710,478190,-471480
81016,0,0,0
81017,221,57372,-57151
81018,292,55731,-55439
81019,162,34131,-33969
81020,497,567100,-566603
81021,304,48821,-48517
81022,132,42191,-42059
81023,248,56762,-56514
81024,261,36333,-36072
81025,11816,16471,-4655
81026,8413,17831,-9418
81027,13518,15350,-1832
81028,12821,180154,-167333
81029,11214,13460,-2246
81030,15031,19171,-4140
81031,14118,16340,-2222
81032,13118,14962,-1844
81033,639,382132,-381493
81034,5412,368150,-362738
81035,623,301183,-300560
81036,10811,645151,-634340
81037,713,517133,-516420
81038,325,61191,-60866
81039,306,29630,-29324
81040,463,55981,-55518
81041,11213,507174,-495961
81042,333,14530,-14197
81043,729,30332,-29603
81044,7011,19973,-12962
81045,160,11210,-11050
81046,262,20150,-19888
81047,275,103100,-102825
81048,5010,339222,-334212
81049,747,27591,-26844
81050,598,375140,-374542
81051,549,303140,-302591
81052,422,14250,-13828
81053,523,13230,-12707
81054,7813,475162,-467349
81055,11415,43354,-31939
81056,11719,439142,-427423
81057,6912,245102,-238190
81058,778,34281,-33503
81059,10117,203203,-193086
81060,13522,294122,-280600
81061,564,18221,-17657
81062,588,340162,-339574
81063,1316,32194,-30878
81064,1146,666172,-665026
81065,1359,384252,-382893
81066,7210,199131,-191921
81067,616,281161,-280545
81068,848,407241,-406393
81069,12711,50592,-37881
81070,282,13971,-13689
81071,14712,596255,-581543
81072,1069,423102,-422033
81073,756,34252,-33496
81074,807,383222,-382415
81075,6913,416245,-409332
81076,787,372153,-371366
81077,736,372131,-371395
81078,12615,612196,-599581
81079,13813,434100,-420287
81080,815,477232,-476417
81081,467,340274,-339807
81082,665,312125,-311460
81083,705,324162,-323457
81084,1139,557230,-556091
81085,455,201142,-200687
81086,10811,360111,-349300
81087,638,34171,-33533
81088,11018,281112,-270094
81089,633,324121,-323488
81090,451,36092,-35641
81091,563,34021,-33458
81092,132,31380,-31248
81093,322,49700,-49378
81094,443,413110,-412667
81095,431,20071,-19640
81096,365,30740,-30375
81097,182,409111,-408929
81098,305,386120,-385815
81099,625,58530,-57905
81100,171,37673,-37502
81102,0,0,0
81103,0,0,0
81104,40,1800,-1760
81105,0,0,0
81106,0,0,0
81107,20,8211,-8191
82001,31452,15340,16112
82002,28731,23251,5480
82003,19023,11020,8003
82004,28533,16053,12480
82005,26629,34851,-8222
82006,16027,268124,-252097
82007,18429,23762,-5333
82008,12213,433111,-420898
82009,14119,24230,-10111
82010,17017,474131,-457114
82011,13810,33872,-20062
82012,124,31491,-31367
82013,170,416100,-415930
82014,91,17312,-17221
82015,242,46820,-46578
82016,12115,30462,-18347
82017,18736,350132,-331396
82018,5512,23970,-18458
82019,10018,19790,-9772
82020,14620,18955,-4335
82021,829,19872,-19043
82022,14117,34921,-20804
82023,465,396102,-395637
82024,12611,357121,-344510
82025,14314,31860,-17546
82026,0,0,0
82027,292,26930,-26638
82028,556,509102,-508546
82029,232,12510,-12278
82030,577,425121,-424544
82031,696,71150,-70454
82032,17414,32352,-14938
82033,15117,25792,-10675
82034,12212,23253,-11041
82035,19424,345152,-325728
82036,20625,43094,-22469
82037,11411,30691,-19280
82038,8011,324101,-316090
82039,17613,42473,-24860
82040,18827,22073,-3246
82041,24532,22920,1612
82042,11020,13320,-2300
82043,22133,18941,3192
82044,23621,20172,3449
82045,19633,14060,5573
82046,22146,17210,4936
82047,23915,17061,6854
82048,25932,20350,5582
82049,33045,20681,12364
82050,847,20462,-19615
82051,1517,38280,-36763
82052,17125,351131,-334006
82053,945,28862,-27917
82054,10,4801,-4791
82055,14716,19141,-4425
82056,14518,25221,-10703
82057,13618,20832,-7214
82058,18825,21170,-2345
82059,50,2500,-2450
82060,19934,254151,-234217
82061,21822,282201,-260379
82062,19722,222153,-202431
82063,16221,221150,-204929
82064,684,26432,-25748
82065,543,71960,-71417
82066,382,35960,-35578
82067,313,425133,-424820
82068,175,34430,-34255
82069,281,36970,-36689
82070,194,31342,-31148
82071,163,37441,-37278
82072,216,38630,-38414
82073,211,35531,-35320
82074,203,30620,-30417
82075,112,30040,-29928
82076,140,31110,-30970
82077,125,385122,-384997
82078,262,42971,-42709
82079,224,43171,-42947
82081,264,36860,-36596
82082,192,24820,-24628
82083,101,8221,-8120
82084,225,47361,-47136
82085,340,33221,-32881
82086,165,32730,-32565
82087,152,34330,-34178
82088,132,38251,-38119
82089,271,40240,-39969
82090,282,35731,-35449
82091,173,19920,-19747
82092,331,48560,-48229
82093,270,36950,-36680
82094,182,37030,-36848
82095,265,49831,-49566
82096,184,32060,-31876
82097,376,39370,-38994
82098,3210,46571,-43361
82099,160,43770,-43610
82100,272,38420,-38148
82101,105,35760,-35655
82102,162,33980,-33818
82103,190,30280,-30090
82104,171,41721,-41550
82105,223,39981,-39758
82106,10,0,10
82107,6311,13001,-6690
82108,0,100,-100
82109,333,23601,-23268
82111,0,0,0
82117,0,0,0
83001,296,67150,-66854
83002,50,9311,-9261
83003,131,35281,-35150
83004,132,19812,-19680
83005,51,11000,-10949
83006,153,45131,-44978
83007,82,50031,-49949
83008,151,34751,-34600
83009,103,40421,-40318
83010,191,68930,-68739
83011,191,50240,-50049
83013,222,63531,-63309
83014,212,73971,-73759
83015,123,60821,-60698
83016,81,57742,-57661
83017,72,49280,-49208
83018,101,49041,-48940
83019,122,39130,-39008
83020,51,39110,-39059
83021,102,44141,-44039
83022,173,39890,-39717
83023,131,39661,-39530
83024,61,21880,-21819
83025,82,37620,-37538
83026,123,26820,-26697
83027,292,54070,-53778
83028,186,620120,-619934
83029,153,35481,-35328
83030,260,43651,-43391
83031,112,47770,-47658
83032,161,52892,-52731
83033,172,46231,-46059
83034,140,527112,-526972
83035,181,40161,-39980
83036,132,23931,-23799
83037,41,43443,-43402
83038,130,49791,-49661
83039,141,42520,-42379
83040,62,37630,-37568
83041,102,36130,-36028
83042,102,45250,-45148
83043,80,42230,-42150
83044,130,535102,-534972
83045,121,53781,-53660
83046,223,41742,-41519
83047,194,42710,-42516
83048,130,43822,-43692
83049,122,43331,-43209
83050,202,53350,-53148
83051,91,50741,-50650
83052,153,51080,-50927
83053,131,43041,-42910
83054,91,38310,-38219
83055,92,54932,-54840
83056,172,52202,-52030
83057,84,46620,-46536
83058,61,33410,-33349
83059,151,55111,-54960
