ed_map_for_viz,Trump,Biden,votes_value_for_viz
77001,234,1963,-1729
77002,182,1966,-1784
77003,777,48827,-48050
77004,825,38919,-38094
77005,655,42910,-42255
77006,7511,47516,-40005
77007,567,5409,-4842
77008,893,47515,-46622
77009,864,4737,-3873
77010,743,45316,-44573
77011,754,54517,-53763
77012,293,36315,-36022
77013,530,34610,-34080
77014,715,41914,-41199
77015,404,2280,-1876
77016,572,36311,-35739
77017,301,1826,-1525
77018,633,43916,-43283
77019,763,42920,-42157
77020,621,37116,-36495
77021,885,47522,-46637
77022,973,51112,-50139
77023,541,44420,-43879
77024,433,34317,-33884
77025,585,55516,-54931
77026,392,2406,-2014
77027,660,55619,-54959
77028,747,52016,-51269
77029,304,1769,-1465
77030,251,3188,-2937
77031,100,713,-613
77032,584,39918,-39334
77033,515,33118,-32603
77034,654,33710,-33056
77035,532,2538,-2006
77036,436,48812,-48376
77037,514,35819,-35305
77038,403,2745,-2342
77039,872,44519,-43647
77040,491,2969,-2478
77041,772,30312,-29540
77042,869,39014,-38145
77043,611,49313,-48702
77044,595,41512,-40917
77045,411,31020,-30609
77046,654,33621,-32967
77047,595,43610,-43015
77048,756,37919,-37163
77049,253,2086,-1833
77050,543,41724,-41181
77051,485,41915,-41430
77052,51,450,-399
77053,644,54814,-54170
77054,686,42010,-41324
77055,495,43922,-43427
77056,455,46620,-46165
77057,545,43819,-43274
77058,487,58354,-57867
77059,460,2799,-2339
77060,491,32621,-32130
77061,271,1506,-1235
77062,495,49412,-48917
77063,623,33211,-32588
77064,91,1433,-1342
77065,676,44717,-44041
77066,101,403,-302
77067,450,3172,-2722
77068,485,46113,-45628
77070,0,0,0
77071,949,52328,-51379
77072,413,39035,-38622
77074,727,49914,-49187
77075,563,30314,-29751
77076,647,39822,-39175
77077,281,2237,-1956
77078,806,47111,-46305
77079,464,27514,-27050
77080,403,2124,-1721
77081,521,34412,-33891
77082,220,17522,-17302
78001,433,39411,-38978
78002,291,26712,-26421
78003,798,41816,-41018
78004,211,23010,-22799
78005,705,35016,-34311
78006,945,58322,-57377
78007,293,12512,-12219
78008,943,47242,-46299
78009,421,29822,-29401
78010,583,42510,-41927
78011,462,3775,-3313
78012,615,3307,-2692
78013,892,60719,-59827
78014,798,53120,-52322
78015,784,35612,-34828
78016,729,41625,-40896
78017,524,1776,-1252
78018,937,45822,-44885
78019,1083,36612,-35529
78020,543,45725,-45182
78021,767,37230,-36463
78022,787,39722,-38935
78023,609,34123,-33514
78024,617,34716,-34099
78025,1198,50934,-49736
78026,759,55551,-54792
78027,813,55036,-54223
78028,573,33334,-32761
78029,895,46230,-45335
78030,658,30422,-29764
78031,868,44226,-43358
78032,823,37130,-36307
78033,11613,57048,-45435
78034,746,37128,-36382
78035,314,16813,-16499
78036,726,46525,-45799
78037,130,510,-380
78038,1033,48035,-47002
78039,293,13712,-13419
78040,1179,49947,-48768
78041,1278,50742,-49464
78042,0,20,-20
78043,383,1768,-1385
78044,825,42935,-42110
78045,753,29020,-28267
78046,511,27315,-26804
78047,994,41633,-40639
78048,6912,67746,-60834
78049,718,50034,-49316
78050,896,42720,-41824
78051,800,32620,-31820
78052,522,33523,-33001
78053,644,38021,-37377
78054,485,29813,-29328
78055,0,0,0
78059,934,33921,-32987
78060,955,42923,-41968
78061,526,26912,-26386
78062,599,28919,-28320
78063,277,17411,-17134
78064,403,2964,-2561
78065,1325,55938,-54613
78066,627,21014,-20387
78067,705,35327,-34622
78068,243,11910,-11667
78069,477,44018,-43541
78070,566,2996,-2430
78071,605,37722,-37117
78072,533,24215,-23682
78073,662,25918,-25256
79001,394,28912,-28518
79002,689,4008,-3319
79003,456,44915,-44459
79004,516,42615,-42099
79005,310,37815,-37505
79006,544,3227,-2683
79007,565,39215,-38650
79008,542,38814,-38272
79009,164,1968,-1804
79010,516,31313,-30797
79011,304,24619,-24315
79012,210,1054,-844
79013,846,42418,-41572
79014,221,1817,-1596
79015,384,3837,-3453
79016,583,38610,-38027
79017,601,41216,-40615
79018,238,39611,-39373
79019,334,28415,-28081
79020,414,36013,-35599
79021,312,30013,-29701
79022,261,26911,-26650
79023,415,31314,-30899
79024,561,39613,-39052
79025,524,50122,-49598
79026,943,52823,-51880
79027,607,49720,-49113
79028,7210,57225,-50015
79030,477,3408,-2931
79031,390,39113,-38723
79032,452,41618,-41166
79033,485,4526,-4041
79034,473,38710,-38237
79035,456,44014,-43558
79036,502,45420,-44918
79037,263,38313,-38050
79038,359,44112,-43753
79039,595,50014,-49419
79040,698,53120,-52422
79041,353,53913,-53560
79042,585,44936,-44351
79043,553,43917,-43364
79044,6410,47215,-40805
79045,521,45614,-45093
79046,305,45810,-45505
79047,575,3879,-3304
79048,547,40915,-40368
79049,392,40224,-39832
79050,506,38311,-37805
79051,244,4218,-3974
79052,501,39821,-39320
79053,619,59134,-58515
79054,562,37911,-37349
79055,144,1358,-1214
79056,706,43611,-42905
79057,626,56823,-56197
79058,658,45816,-45158
79059,4510,43012,-38502
79060,222,19915,-19693
79061,603,42117,-41514
79062,748,52237,-51489
79063,386,37714,-37328
79064,412,35214,-34802
79065,416,32615,-32199
79066,473,3446,-2973
79067,422,2285,-1863
79068,389,58317,-57928
79069,565,59728,-59163
79070,251,2746,-2495
79071,202,2037,-1835
79072,604,49621,-49017
79073,643,32919,-32276
79074,123,770,-647
79075,663,46527,-45864
79076,589,41328,-40739
79077,150,1477,-1327
79078,81,1938,-1857
79079,232,1967,-1735
79080,0,0,0
79082,220,1898,-1678
79083,582,47811,-47229
79084,566,44824,-44258
