ed_map_for_viz,Trump,Clinton,vote_differences,total_value,trump_pct,clinton_pct,vote_counts_pct
77001,10,200,-190,430,2.3255813953488373,46.51162790697674,-44.18604651162791
77002,11,219,-208,467,2.355460385438972,46.895074946466806,-44.53961456102783
77003,10,378,-368,781,1.2804097311139564,48.399487836107554,-47.1190781049936
77004,19,464,-445,979,1.940755873340143,47.3953013278856,-45.45454545454545
77005,20,702,-682,1473,1.3577732518669383,47.657841140529534,-46.300067888662596
77006,28,617,-589,1310,2.1374045801526718,47.099236641221374,-44.961832061068705
77007,29,672,-643,1425,2.0350877192982457,47.1578947368421,-45.122807017543856
77008,22,700,-678,1454,1.5130674002751032,48.143053645116915,-46.62998624484181
77009,36,720,-684,1537,2.342225113858165,46.8445022771633,-44.50227716330514
77010,32,522,-490,1119,2.8596961572832886,46.64879356568365,-43.78909740840036
77011,32,676,-644,1429,2.239328201539538,47.30580825752274,-45.066480055983206
77012,26,590,-564,1254,2.073365231259968,47.04944178628389,-44.97607655502392
77013,28,660,-632,1397,2.0042949176807445,47.24409448818898,-45.23979957050823
77014,36,424,-388,934,3.854389721627409,45.396145610278374,-41.54175588865097
77015,32,572,-540,1232,2.5974025974025974,46.42857142857143,-43.83116883116883
77016,21,404,-383,854,2.459016393442623,47.306791569086656,-44.84777517564403
77017,7,195,-188,410,1.707317073170732,47.5609756097561,-45.853658536585364
77018,20,493,-473,1041,1.921229586935639,47.358309317963496,-45.43707973102786
77019,23,498,-475,1068,2.153558052434457,46.62921348314607,-44.47565543071161
77020,28,447,-419,971,2.883625128733265,46.03501544799176,-43.151390319258496
77021,26,478,-452,1025,2.5365853658536586,46.63414634146342,-44.09756097560976
77022,29,520,-491,1108,2.6173285198555956,46.931407942238266,-44.31407942238267
77023,29,713,-684,1495,1.939799331103679,47.69230769230769,-45.752508361204015
77024,23,550,-527,1164,1.9759450171821304,47.250859106529205,-45.27491408934708
77025,22,628,-606,1318,1.669195751138088,47.64795144157815,-45.97875569044006
77026,12,207,-195,442,2.7149321266968327,46.83257918552036,-44.11764705882353
77027,20,608,-588,1278,1.5649452269170578,47.57433489827856,-46.0093896713615
77028,22,594,-572,1260,1.746031746031746,47.14285714285714,-45.39682539682539
77029,14,164,-150,360,3.888888888888889,45.55555555555556,-41.66666666666667
77030,11,290,-279,624,1.7628205128205128,46.47435897435898,-44.71153846153847
77031,3,72,-69,150,2.0,48.0,-46.0
77032,1,73,-72,152,0.6578947368421052,48.026315789473685,-47.36842105263158
77033,17,356,-339,761,2.2339027595269383,46.78055190538765,-44.546649145860705
77034,35,604,-569,1298,2.6964560862865947,46.5331278890601,-43.8366718027735
77035,19,584,-565,1221,1.556101556101556,47.82964782964783,-46.27354627354627
77036,17,301,-284,651,2.61136712749616,46.236559139784944,-43.625192012288785
77037,11,414,-403,865,1.2716763005780347,47.861271676300575,-46.58959537572254
77038,15,295,-280,636,2.358490566037736,46.38364779874214,-44.0251572327044
77039,23,526,-503,1120,2.0535714285714284,46.964285714285715,-44.910714285714285
77040,17,362,-345,772,2.2020725388601035,46.89119170984456,-44.68911917098446
77041,23,419,-396,893,2.57558790593505,46.920492721164614,-44.34490481522956
77042,32,588,-556,1252,2.5559105431309903,46.96485623003195,-44.40894568690096
77043,21,516,-495,1095,1.9178082191780823,47.12328767123288,-45.205479452054796
77044,33,575,-542,1228,2.687296416938111,46.82410423452769,-44.13680781758958
77045,11,338,-327,717,1.5341701534170153,47.140864714086476,-45.60669456066946
77046,50,529,-479,1182,4.230118443316413,44.75465313028765,-40.524534686971236
77047,15,469,-454,983,1.5259409969481181,47.71108850457782,-46.18514750762971
77048,33,599,-566,1279,2.580140734949179,46.83346364347146,-44.25332290852228
77049,8,195,-187,415,1.9277108433734942,46.98795180722892,-45.06024096385542
77050,21,550,-529,1165,1.8025751072961373,47.21030042918455,-45.407725321888414
77051,18,528,-510,1103,1.6319129646418857,47.86944696282865,-46.23753399818676
