ed_map_for_viz,Trump,Biden,vote_differences,total_value,trump_pct,biden_pct,vote_counts_pct
77001,27,199,-172,454,5.947136563876652,43.83259911894273,-37.88546255506608
77002,20,202,-182,447,4.47427293064877,45.19015659955257,-40.7158836689038
77003,84,515,-431,1206,6.965174129353234,42.70315091210614,-35.7379767827529
77004,87,408,-321,997,8.72617853560682,40.92276830491474,-32.19658976930792
77005,70,439,-369,1030,6.796116504854369,42.62135922330097,-35.8252427184466
77006,86,491,-405,1157,7.433016421780467,42.43733794295592,-35.004321521175456
77007,63,549,-486,1234,5.105348460291735,44.489465153970826,-39.38411669367909
77008,92,490,-398,1183,7.776838546069316,41.42011834319527,-33.643279797125956
77009,90,480,-390,1150,7.82608695652174,41.73913043478261,-33.91304347826087
77010,77,469,-392,1101,6.993642143505904,42.59763851044505,-35.60399636693915
77011,79,562,-483,1297,6.0909791827293756,43.3307632999229,-37.23978411719352
77012,32,378,-346,823,3.8882138517618468,45.92952612393682,-42.04131227217497
77013,53,356,-303,823,6.439854191980558,43.256379100850545,-36.81652490886999
77014,76,433,-357,1027,7.400194741966894,42.16163583252191,-34.76144109055502
77015,44,228,-184,550,8.0,41.45454545454545,-33.45454545454545
77016,59,374,-315,871,6.77382319173364,42.93915040183697,-36.16532721010333
77017,31,188,-157,441,7.029478458049887,42.63038548752834,-35.600907029478456
77018,66,455,-389,1055,6.2559241706161135,43.127962085308056,-36.872037914691944
77019,79,449,-370,1065,7.417840375586854,42.15962441314554,-34.74178403755869
77020,63,387,-324,904,6.969026548672566,42.809734513274336,-35.84070796460177
77021,93,497,-404,1185,7.848101265822785,41.94092827004219,-34.09282700421941
77022,100,523,-423,1260,7.936507936507936,41.50793650793651,-33.57142857142858
77023,55,464,-409,1045,5.263157894736842,44.40191387559808,-39.13875598086124
77024,46,360,-314,827,5.562273276904474,43.53083434099154,-37.96856106408707
77025,63,571,-508,1274,4.945054945054945,44.81946624803768,-39.874411302982736
77026,41,246,-205,575,7.130434782608695,42.78260869565217,-35.65217391304348
77027,66,575,-509,1293,5.104408352668213,44.470224284609436,-39.36581593194122
77028,81,536,-455,1259,6.433677521842732,42.57347100873709,-36.139793486894355
77029,34,185,-151,446,7.623318385650224,41.47982062780269,-33.856502242152466
77030,26,326,-300,713,3.6465638148667603,45.72230014025245,-42.07573632538569
77031,10,74,-64,170,5.88235294117647,43.529411764705884,-37.64705882352941
77032,62,417,-355,988,6.275303643724696,42.20647773279352,-35.931174089068826
77033,56,349,-293,821,6.82095006090134,42.50913520097443,-35.68818514007309
77034,69,347,-278,843,8.185053380782918,41.16251482799525,-32.977461447212335
77035,55,261,-206,635,8.661417322834646,41.10236220472441,-32.44094488188976
77036,49,500,-451,1107,4.426377597109305,45.16711833785004,-40.74074074074073
77037,55,377,-322,878,6.264236902050115,42.93849658314351,-36.674259681093396
77038,43,279,-236,658,6.5349544072948325,42.401215805471125,-35.86626139817629
77039,89,464,-375,1121,7.939339875111508,41.39161462979482,-33.452274754683316
77040,50,305,-255,714,7.002801120448179,42.71708683473389,-35.71428571428571
77041,79,315,-236,798,9.899749373433583,39.473684210526315,-29.573934837092732
77042,95,404,-309,1005,9.45273631840796,40.19900497512438,-30.746268656716424
77043,62,506,-444,1155,5.367965367965368,43.80952380952381,-38.44155844155844
77044,64,427,-363,995,6.432160804020101,42.91457286432161,-36.48241206030151
77045,42,330,-288,748,5.614973262032086,44.11764705882353,-38.50267379679144
